Video Frame Number,Server Receive Time
1,1713463321.547828
2,1713463323.5579627
3,1713463325.5395072
4,1713463327.865882
5,1713463330.5408998
6,1713463332.246844
7,1713463334.9903696
8,1713463338.120425
9,1713463340.8505805
10,1713463344.4875505
11,1713463347.3509438
12,1713463350.1253376
13,1713463353.9466085
14,1713463359.065933
15,1713463362.0350873
16,1713463364.355026
17,1713463364.9758766
18,1713463366.5351129
19,1713463368.5750277
20,1713463370.8064847
21,1713463372.168032
22,1713463374.530152
23,1713463378.100604
24,1713463381.4657588
25,1713463385.8536112
26,1713463388.6990137
27,1713463391.1568053
28,1713463392.8273013
29,1713463393.9352388
30,1713463395.5715206
31,1713463396.4400876
32,1713463398.0569754
33,1713463398.7396698
34,1713463399.1404362
35,1713463399.5853484
36,1713463404.4906678
37,1713463405.9561715
38,1713463407.7901173
39,1713463410.0727112
40,1713463414.6479924
