Video frame number,Transmission Beginning Time
1,1713463318.6754994
2,1713463319.5986931
3,1713463322.0994353
4,1713463323.1553671
5,1713463325.3567333
6,1713463327.7938218
7,1713463330.3552244
8,1713463332.0314622
9,1713463335.1860178
10,1713463338.187973
11,1713463340.9840832
12,1713463344.0368621
13,1713463346.7030592
14,1713463349.662586
15,1713463353.6777816
16,1713463358.2035909
17,1713463362.2985094
18,1713463364.4379644
19,1713463365.0702946
20,1713463366.4600348
21,1713463367.08329
22,1713463369.7436686
23,1713463371.8271713
24,1713463373.0528784
25,1713463378.1803336
26,1713463381.3666825
27,1713463384.212365
28,1713463388.3470569
29,1713463392.1572807
30,1713463392.5039659
31,1713463393.352738
32,1713463393.5491738
33,1713463394.8113346
34,1713463395.3727145
35,1713463396.0087712
36,1713463396.5222216
37,1713463396.9420311
38,1713463398.2341497
39,1713463398.6629512
40,1713463398.930019
41,1713463401.575892
42,1713463404.5866616
43,1713463407.192378
44,1713463408.8794696
